0.98,0.14,0.45,-3.96,-2.33,0.12
0.98,0.14,0.45,-3.83,-2.11,-0.05
0.98,0.14,0.43,-3.96,-1.47,-0.50
0.99,0.14,0.45,-3.74,-1.19,-0.53
0.99,0.15,0.44,-3.71,-0.23,-0.92
0.98,0.14,0.45,-3.85,0.47,-1.41
0.97,0.14,0.45,-3.78,0.72,-1.62
0.97,0.14,0.46,-3.75,0.67,-1.79
0.97,0.15,0.46,-3.79,0.50,-1.50
0.97,0.15,0.45,-3.85,0.44,-1.08
0.97,0.15,0.45,-3.80,0.15,-0.65
0.97,0.15,0.45,-3.85,-0.59,-0.37
0.97,0.15,0.45,-3.81,-0.91,-0.58
0.97,0.15,0.46,-3.93,-1.19,-0.72
0.97,0.15,0.45,-3.99,-1.49,-0.61
0.97,0.15,0.45,-3.84,-1.69,-0.40
0.97,0.15,0.45,-4.08,-1.95,-0.27
0.97,0.15,0.45,-4.07,-2.17,-0.24
0.97,0.15,0.45,-4.31,-2.18,-0.85
0.97,0.15,0.45,-4.15,-2.43,-1.08
0.97,0.14,0.45,-3.82,-1.88,-0.06
0.98,0.15,0.45,-3.69,-1.41,0.43
0.98,0.15,0.44,-3.73,-1.47,-0.03
0.98,0.15,0.44,-4.00,-1.15,-0.69
0.97,0.15,0.45,-3.73,-0.31,-0.39
0.97,0.15,0.44,-3.77,0.66,0.11
0.98,0.14,0.44,-3.85,1.56,0.48
0.98,0.14,0.44,-3.92,2.52,0.24
0.99,0.14,0.44,-3.90,3.15,-0.33
1.00,0.14,0.45,-3.67,3.80,-0.98
0.99,0.14,0.45,-3.64,4.67,-1.47
0.98,0.14,0.45,-3.64,4.63,-1.95
0.97,0.15,0.47,-3.64,4.15,-2.37
0.96,0.15,0.46,-3.27,3.51,-2.63
0.96,0.14,0.46,-3.12,2.61,-2.76
0.95,0.15,0.46,-3.30,1.52,-2.32
0.96,0.15,0.45,-3.42,0.48,-1.90
0.95,0.15,0.45,-3.44,-0.29,-1.30
0.96,0.15,0.45,-3.68,-0.99,-0.79
0.96,0.15,0.45,-3.70,-1.43,-0.29
0.96,0.15,0.46,-4.07,-1.85,0.33
0.96,0.15,0.44,-3.89,-2.19,0.63
0.96,0.15,0.44,-4.05,-2.14,0.89
0.97,0.14,0.44,-4.31,-1.86,0.55
0.98,0.15,0.44,-4.50,-1.21,0.34
0.98,0.14,0.44,-4.21,-0.53,-0.11
0.98,0.15,0.44,-4.25,0.11,-0.38
0.98,0.14,0.44,-4.18,1.10,-0.89
0.98,0.14,0.44,-4.25,2.02,-1.34
0.97,0.14,0.44,-3.98,3.16,-1.65
0.98,0.14,0.45,-3.68,4.37,-2.28
0.97,0.13,0.45,-3.87,5.34,-2.47
0.97,0.14,0.46,-3.76,6.32,-3.15
0.97,0.14,0.45,-3.80,6.86,-3.57
0.95,0.14,0.46,-3.56,7.62,-3.89
0.95,0.15,0.46,-3.76,8.12,-4.08
0.95,0.15,0.46,-3.69,8.26,-3.92
0.96,0.16,0.46,-3.85,8.33,-3.86
0.95,0.16,0.47,-3.79,8.04,-3.68
0.96,0.16,0.47,-3.89,7.85,-3.58
0.95,0.16,0.47,-3.92,7.33,-3.40
0.96,0.16,0.47,-4.08,6.72,-3.17
0.96,0.17,0.47,-4.23,5.76,-2.74
0.95,0.17,0.48,-4.16,4.73,-2.23
0.96,0.16,0.49,-4.03,3.63,-1.63
0.96,0.16,0.48,-4.05,2.74,-0.88
0.96,0.16,0.49,-3.95,1.51,-0.40
0.97,0.16,0.48,-4.06,0.60,0.25
0.97,0.15,0.47,-4.09,0.08,0.50
0.96,0.15,0.47,-4.18,-0.45,0.69
0.97,0.14,0.47,-4.11,-0.74,0.72
0.96,0.15,0.46,-3.98,-0.61,0.37
0.96,0.15,0.46,-4.24,-0.28,-0.10
0.97,0.14,0.46,-4.24,-0.01,-0.82
0.97,0.14,0.45,-4.14,0.39,-1.81
0.98,0.15,0.45,-4.28,1.18,-2.15
0.99,0.15,0.45,-4.30,2.12,-1.98
0.99,0.14,0.45,-4.39,3.16,-1.70
0.99,0.15,0.45,-4.69,3.84,-1.73
